vtitle,homepage,description,telephone,address,hour,hotel,beauty,supply
로얄동물메디컬센터,http://royalamc.com/,,02-494-7582,서울특별시 중랑구 망우로 247,FALSE,FALSE,FALSE,FALSE
월드펫동물종합병원,http://worldpet-amc.co.kr/,,02-364-3517,서울특별시 마포구 신촌로 248,FALSE,FALSE,FALSE,FALSE
메인동물메디컬센터,http://mainamc.com/,,02-979-8575,서울특별시 노원구 동일로 1025-1,FALSE,FALSE,FALSE,FALSE
24시애니동물병원,,,02-926-8275,서울특별시 성북구 보문로 99,TRUE,FALSE,FALSE,FALSE
아띠동물병원,http://attiah.modoo.at/,"노령견, 치과, 중성화, 스케일링, 건강검진 등 안내",02-6242-8275,서울특별시 동대문구 사가정로 51,FALSE,FALSE,FALSE,FALSE
오래오래동물병원,http://www.oraepet.co.kr/,,02-568-2090,서울특별시 강남구 도곡로37길 20,FALSE,FALSE,FALSE,FALSE
동물메디컬센터W,http://www.animalw.co.kr/,"종합동물병원, 2차 진료",02-323-8275,서울특별시 마포구 월드컵로 46,TRUE,FALSE,FALSE,FALSE
헬릭스동물메디컬센터,,,02-2135-9119,서울특별시 서초구 신반포로 162,FALSE,FALSE,FALSE,FALSE
우리아이 동물병원,http://www.uriai.co.kr/,"강아지, 고양이 진료, 미용, 호텔 등 서비스 안내",02-823-7500,서울특별시 동작구 상도로 262,FALSE,TRUE,TRUE,FALSE
보노보노 동물병원,,"어린강아지, 노령견 관리, 정기검진, 내과, 외과, 피부염 진료 전문",02-903-5525,서울특별시 강북구 덕릉로 39,FALSE,FALSE,FALSE,FALSE
24시 베스트 동물 메디컬센터,http://jsbestamc.allthemedi.com/,,02-2203-7975,서울특별시 송파구 삼학사로 88,TRUE,FALSE,FALSE,FALSE
365동물병원,http://blog.naver.com/365ah,"진료, 용품, 미용, 호텔, 분양 등",02-6402-0365,서울특별시 도봉구 방학로 54,FALSE,TRUE,TRUE,TRUE
페츠비 동물의료센터,http://blog.naver.com/petsbe24ah,,02-546-2475,서울특별시 강남구 도산대로 155,FALSE,FALSE,FALSE,FALSE
동물을사랑하는사람들,,"진료, 미용, 애견호텔 운영",,서울특별시 강북구 도봉로98길 56,FALSE,TRUE,TRUE,FALSE
리베동물메디컬센터,http://liebeamc.com/,,02-2604-0156,서울특별시 양천구 오목로 280,FALSE,FALSE,FALSE,FALSE
봄봄동물병원,http://blog.naver.com/bombomah,"고양이, 노령견 진료, 중성화수술, 예방접종, 미용, 용품",02-969-7579,서울특별시 동대문구 회기로18길 46,FALSE,FALSE,TRUE,TRUE
경인동물의료센터,http://giamc.com/,,02-571-8275,서울특별시 영등포구 경인로 832,FALSE,FALSE,FALSE,FALSE
라라동물의료원,http://www.lalapet.co.kr/,"소화기, 순환기, 피부, 정형외과 등 진료 안내",02-839-7585,서울특별시 구로구 도림로 72,FALSE,FALSE,FALSE,FALSE
N동물의료센터 노원점,http://www.namc.co.kr/,,02-919-0075,서울특별시 노원구 노원로 456,FALSE,FALSE,FALSE,FALSE
좋아서하는동물병원,http://www.joapethospital.com/,"내과 전공 원장, 심장/피부 등 내과 심화 진료",02-703-0075,서울특별시 용산구 백범로 341,FALSE,FALSE,FALSE,FALSE
아크리스동물의료센터,http://www.acris-ah.co.kr/,"전자내시경, 해외출국 동물검역, 복합문화공간, 특수동물, 오존, 레이저수술, 음압 등 반려동물 전문 진료",02-583-7582,서울특별시 강남구 학동로 138,FALSE,FALSE,FALSE,FALSE
별난동물병원,http://blog.naver.com/jinsan1,"내외과 진료, 노령견 관리, 피부, 안과 각종 다발성 질병 및 수술, 분양 상담, 미용, 애완동물 용품.",02-905-9119,서울특별시 도봉구 도봉로 603,FALSE,FALSE,TRUE,TRUE
진서동물병원,,,02-432-7530,서울특별시 중랑구 신내로10길 7,FALSE,FALSE,FALSE,FALSE
보라매 웰 종합 동물병원,http://blog.naver.com/wellvc,,,서울특별시 동작구 상도로 16,FALSE,FALSE,FALSE,FALSE
닥터아이펫 동물병원,http://dripet.modoo.at/,"예방접종, 심장사상충, 예약진료, 수술, 중성화, 분양, 애견, 고양이 미용, 호텔 안내.",02-2208-0329,서울특별시 중랑구 망우로 353,FALSE,TRUE,TRUE,FALSE
서울동물메디컬센터,http://www.seoul75.com/,,02-457-0075,서울특별시 강동구 양재대로 1410,FALSE,FALSE,FALSE,FALSE
나눔동물병원,http://doctor_nanum.blog.me/50176074302,,02-888-0976,서울특별시 관악구 남부순환로 1964,FALSE,FALSE,FALSE,FALSE
논현동물병원,http://www.nhamc.co.kr/,,02-3442-3785,서울특별시 강남구 강남대로118길 47,FALSE,FALSE,FALSE,FALSE
올리브동물병원,http://olivehospital.modoo.at/,,02-391-7502,서울특별시 종로구 자하문로 305,FALSE,FALSE,FALSE,FALSE
하비동물병원,http://blog.naver.com/habianimal,"수술, 건강검진, 예방접종, 미용, 분양, 애완용품, 강아지분양, 중성화수술, 고양이진료, 강아지진료",02-2038-9980,서울특별시 도봉구 노해로65길 14,FALSE,FALSE,TRUE,TRUE
시온동물병원,http://blog.naver.com/zion_ah,,02-476-8275,서울특별시 강동구 천호대로 1057,FALSE,FALSE,FALSE,FALSE
미소동물의료센터,http://blog.naver.com/misoanimal,,02-2603-0075,서울특별시 강서구 강서로 215,FALSE,FALSE,FALSE,FALSE
젠틀리동물병원,http://blog.naver.com/gentleleeah,,02-2662-8111,서울특별시 강서구 마곡중앙5로 81,FALSE,FALSE,FALSE,FALSE
청화동물병원 &amp; KAT,http://www.cwhospital.co.kr/,동물 해외 출입국 검역 및 항공운송,02-792-7602,서울특별시 용산구 보광로 90,FALSE,FALSE,FALSE,FALSE
넬동물병원,http://blog.naver.com/dvmwang,,02-6925-4347,서울특별시 성북구 오패산로 75-1,FALSE,FALSE,FALSE,FALSE
고덕24시동물병원,http://koduk24.blog.me/,,02-6227-8275,서울특별시 강동구 동남로 877,TRUE,FALSE,FALSE,FALSE
준동물병원,http://blog.naver.com/wwqwe12,"진료, 미용, 호텔, 분양 등 고양이 병원",02-457-2220,서울특별시 광진구 뚝섬로 541,FALSE,TRUE,TRUE,FALSE
24시페토피아동물병원,http://peto.pe.kr/,,02-414-0075,서울특별시 송파구 오금로 203,TRUE,FALSE,FALSE,FALSE
다나동물병원,http://www.danahospital.co.kr/,,02-3471-0375,서울특별시 동작구 동작대로 47,FALSE,FALSE,FALSE,FALSE
금란종합동물병원,http://healthydog.co.kr/,,02-492-7582,서울특별시 중랑구 용마산로 532,FALSE,FALSE,FALSE,FALSE
개포별빛동물병원,http://starlightah.blog.me/,"외과, 내과, 안과 등 진료",02-573-7582,서울특별시 강남구 논현로 70,FALSE,FALSE,FALSE,FALSE
스마트동물병원,http://blog.naver.com/smart7582,,02-442-8875,서울특별시 강동구 고덕로 110,FALSE,FALSE,FALSE,FALSE
어울림동물병원,http://blog.naver.com/eoullimah,,02-305-4242,서울특별시 서대문구 가재울미래로 2,FALSE,FALSE,FALSE,FALSE
셀레네동물병원,,"예방접종, 사료, 간식 등 판매",02-335-5232,서울특별시 마포구 독막로 85,FALSE,FALSE,FALSE,FALSE
라파엘동물병,,"호텔, 까페 운영, 애견용품 판매.",02-3444-7507,서울특별시 서초구 강남대로 525-3,TRUE,TRUE,FALSE,TRUE
스머프동물병원,,"수술, 미용, 응급진료, 애견용품, 액세서리, 건강사료 판매",02-969-7582,서울특별시 은평구 백련산로 145,FALSE,FALSE,TRUE,TRUE
아프지말게동물병원,http://blog.naver.com/a_mal,,02-307-3355,서울특별시 마포구 월드컵북로 381,FALSE,FALSE,FALSE,FALSE
화랑동물병원,,"내외과 진료, 예방접종, 미용, 분양, 사료 및 용품판매",02-979-7411,서울특별시 노원구 화랑로 473,FALSE,FALSE,TRUE,TRUE
유케어동물병원,http://24ucare.com/,"개, 고양이 전문 진료, 수중 런닝머신, 디지털 진료 시스템, 외과수술전문",,서울특별시 동작구 상도로 214,FALSE,FALSE,FALSE,FALSE
파랑새동물병원,http://blog.naver.com/dvmksy,"개 고양이 중성화 치석제거 및 예방접종 구충 및 애견 미용, 피부병 귓병 안과질환 소화기질환 비뇨기질환 전문",02-805-2825,서울특별시 금천구 시흥대로 276,FALSE,FALSE,TRUE,FALSE
미소로동물병원,http://blog.naver.com/misoroanimal,"서울특별시 영등포구 영등포동 위치. 동물병원, 고양이, 외과, 슬개골, 골절, 치과 등 진료 안내.",02-2679-9997,서울특별시 영등포구 영신로 238,FALSE,FALSE,FALSE,FALSE
25시동물의료센터,http://blog.naver.com/jamsil25h,,02-419-1351,서울특별시 송파구 삼전로 80,TRUE,FALSE,FALSE,FALSE
위즈펫동물병원 롯데마트서울역점,http://www.ssah.co.kr/,"진료, 미용, 애견분양, 호텔, 중성화수술 등",02-393-7588,서울특별시 중구 한강대로 405,FALSE,TRUE,TRUE,FALSE
우리동물병원,http://blog.naver.com/wooryah,,02-457-0231,서울특별시 광진구 뚝섬로 636,FALSE,FALSE,FALSE,FALSE
로얄동물병원,http://blog.naver.com/royalpet1004,"야간응급실 운영, 개, 고양이 호텔 및 미용실 운영, 용품 판매",02-354-0975,서울특별시 은평구 연서로 137,FALSE,TRUE,TRUE,TRUE
우리아이동물메디컬센터,http://blog.naver.com/woori-iamc,,02-3664-0075,서울특별시 강서구 공항대로 284,FALSE,FALSE,FALSE,FALSE
워너비동물병원,http://blog.naver.com/wannabeah,"외과수술, 건강검진센터, 고양이진료, 심장초음파, 중성화 전문",02-322-1275,서울특별시 마포구 동교로 193,FALSE,FALSE,FALSE,FALSE
늘푸른동물병원,,,02-857-7572,서울특별시 관악구 난곡로 227,FALSE,FALSE,FALSE,FALSE
중앙동물병원,,"반려동물 진료, 애견미용, 용품 판매 전문.",02-982-8698,서울특별시 강북구 도봉로 88,FALSE,FALSE,TRUE,TRUE
위드동물병원,,,02-907-1175,서울특별시 도봉구 도봉로 568,FALSE,FALSE,FALSE,FALSE
유석동물병원,http://blog.naver.com/vetdrwoo/,강아지 및 고양이 진료,02-833-7554,서울특별시 영등포구 여의대방로 11,FALSE,FALSE,FALSE,FALSE
도담도담동물병원,,"애견미용, 호텔, 초음파, 중성화, 스케일링, 피부, 설사, 파보, 홍역, 구토, 고양이, 예방접종.",02-943-7582,서울특별시 성북구 화랑로 76,FALSE,TRUE,TRUE,FALSE
송정동물메디컬센터,http://blog.naver.com/petlove0530,,02-2661-0530,서울특별시 강서구 공항대로 39,FALSE,FALSE,FALSE,FALSE
파스텔동물병원,http://blog.naver.com/pastelclinic/,,02-2693-0075,서울특별시 강서구 화곡로 112,FALSE,FALSE,FALSE,FALSE
웰케어동물병원,http://blog.naver.com/well_care/,"애견미용, 푸들비숑가위컷전문, 긍정강화진료, 반려견문제상담, 중성화센터, 노령견전문병원",02-337-7575,서울특별시 마포구 월드컵북로 27,FALSE,FALSE,TRUE,FALSE
관악동물종합병원,,,02-883-2733,서울특별시 관악구 남부순환로 1859,FALSE,FALSE,FALSE,FALSE
마리동물병원,http://blog.naver.com/jongilori,"고양이 병원, 치과, 안과, 한방, 침치료, 심장 진료 등",02-323-7582,서울특별시 마포구 신촌로 16,FALSE,FALSE,FALSE,FALSE
하이디 동물병원,http://blog.naver.com/highdah,"고양이, 강아지",02-338-0275,서울특별시 마포구 독막로 38,FALSE,FALSE,FALSE,FALSE
이윤세동물병원,http://nentnc.blog.me/,,02-2282-7503,서울특별시 성동구 행당로 76,FALSE,FALSE,FALSE,FALSE
와우종합동물병원,,,02-866-0880,서울특별시 관악구 난곡로 247,FALSE,FALSE,FALSE,FALSE
러브펫동물병원,http://www.lovepet24.com/,"정형외과, 신경외과, 내과 등 진료",02-837-8875,서울특별시 관악구 남부순환로 1451,FALSE,FALSE,FALSE,FALSE
민트동물병원,http://www.mintpet.co.kr/,"해외 운송 동물 검역 강아지, 고양이 전문 (미국 싱가폴 인도 일본 뉴질랜드 호주 필리핀 태국)",02-707-2235,서울특별시 용산구 원효로 51,FALSE,FALSE,FALSE,FALSE
페트로동물의료원,http://blog.naver.com/petropolis,"반려동물 진료, 호텔, 토탈케어 서비스 제공",02-2249-0075,서울특별시 동대문구 장한로 77,FALSE,TRUE,FALSE,FALSE
퓨리나 동물병원,http://blog.naver.com/purinaclinic/,,,서울특별시 도봉구 도봉로 469,FALSE,FALSE,FALSE,FALSE
우리동물메디컬센터,,,02-853-7582,서울특별시 금천구 남부순환로 1386,FALSE,FALSE,FALSE,FALSE
지엔동물병원,http://www.gn-ah.co.kr/,"강아지, 고양이 진료 및 미용",02-812-8275,서울특별시 동작구 상도로 195,FALSE,FALSE,TRUE,FALSE
하나동물병원,,"노령견 클리닉, 고양이, 고슴도치, 햄스터, 토끼, 기니피그 진료",02-6242-7500,서울특별시 동대문구 망우로 66,FALSE,FALSE,FALSE,FALSE
파리스동물병원,http://blog.naver.com/animalhospital,,02-2644-8878,서울특별시 양천구 목동서로 100,FALSE,FALSE,FALSE,FALSE
금천 24시 K동물의료센터,,,02-808-2475,서울특별시 금천구 시흥대로 251,TRUE,FALSE,FALSE,FALSE
굿파파 24시 반려동물건강검진센터,http://blog.naver.com/shysky3620,,02-593-8275,서울특별시 동작구 사당로 289,TRUE,FALSE,FALSE,FALSE
24시 글로리 동물병원,https://www.instagram.com/glory.vet,,02-855-8575,서울특별시 금천구 시흥대로 483,TRUE,FALSE,FALSE,FALSE
라임동물병원,http://blog.naver.com/limeamc,,02-2281-8122,서울특별시 성동구 무학로 16,FALSE,FALSE,FALSE,FALSE
24시센트럴동물메디컬센터,http://www.24시동물병원.com,"응급진료, 2차진료, 수술전문, 슬개골탈구, 중성화수술, 고양이, 토끼, 고슴도치, 노령동물 진료, 호텔, 미용",02-3395-7975,서울특별시 성동구 고산자로 207,TRUE,TRUE,TRUE,FALSE
유앤동물의료원,,,02-2043-7582,서울특별시 송파구 양재대로 1148,FALSE,FALSE,FALSE,FALSE
서울동물병원,,,02-2038-8253,서울특별시 광진구 천호대로 623-1,FALSE,FALSE,FALSE,FALSE
대한동물병원,http://comfortdh.modoo.at/,"예방접종, 강아지중성화수술, 고양이미용, 고양이중성화수술, 강아지예방접종, 애견분양",02-2694-4821,서울특별시 강서구 화곡로 205,FALSE,FALSE,TRUE,FALSE
스마일플러스동물병원,,,02-976-7582,서울특별시 노원구 동일로 1051,FALSE,FALSE,FALSE,FALSE
형제동물병원,,"강아지분양, 종견교배, 애견미용, 진료",02-889-0575,서울특별시 관악구 남부순환로 1747,FALSE,FALSE,TRUE,FALSE
바른펫 동물의료센터,,,02-903-7582,서울특별시 강북구 노해로 65,FALSE,FALSE,FALSE,FALSE
홍익동물병원,http://blog.naver.com/hongik-blog,,02-325-2026,서울특별시 마포구 독막로 45,FALSE,FALSE,FALSE,FALSE
라온동물병원,http://blog.naver.com/raonah,"애견 미용, 호텔",02-792-7585,서울특별시 용산구 회나무로13길 6,FALSE,TRUE,TRUE,FALSE
개와냥이동물병원,http://blog.naver.com/kwangnyeon99,"강아지/고양이 분양, 애견용품할인, 분양시 예방접종할인, 동물판매업허가업체",02-352-7275,서울특별시 은평구 통일로 727-5,FALSE,FALSE,FALSE,TRUE
VIP동물의료센터 서초동작점,http://www.vipah.co.kr/,,02-525-3102,서울특별시 서초구 동작대로 36,FALSE,FALSE,FALSE,FALSE
동물병원메이,http://www.mayah.co.kr/,,02-797-4408,서울특별시 용산구 대사관로 41,FALSE,FALSE,FALSE,FALSE
우리동물병원생명사회적협동조합,http://mapowithpet.com/,,02-335-3333,서울특별시 마포구 월드컵북로12길 22,FALSE,FALSE,FALSE,FALSE
도그원 동물의료센터,http://blog.naver.com/cafedog1/,,02-358-1591,서울특별시 은평구 연서로29길 24,FALSE,FALSE,FALSE,FALSE
스마트동물병원,,,02-987-7588,서울특별시 강북구 솔샘로 203-2,FALSE,FALSE,FALSE,FALSE
러브펫동물병원 노원중계점,,"강아지 분양, 고양이 미용, 용품 판매 등",02-972-6543,서울특별시 노원구 동일로204가길 12,FALSE,FALSE,TRUE,TRUE
서울대학교 수의과대학 동물병원,http://vmth.snu.ac.kr/,"외과, 내과, 영상의학, 임상병리, 피부, 마취과, 산과, MRI, CT, 항암치료, 동물검역 안내",,서울특별시 관악구 관악로 1,FALSE,FALSE,FALSE,FALSE
홍제동물병원,,,02-396-5525,서울특별시 서대문구 통일로 463,FALSE,FALSE,FALSE,FALSE
신사24시동물병원,,"강아지, 고양이 및 전염병 치료 전문",02-549-4506,서울특별시 강남구 도산대로 138,TRUE,FALSE,FALSE,FALSE
오석헌동물병원,http://blog.naver.com/oshvet,,02-6402-0301,서울특별시 성동구 독서당로 223,FALSE,FALSE,FALSE,FALSE
한솔동물병원,http://petopia.co.kr/,,02-737-8375,서울특별시 서대문구 통일로 392,FALSE,FALSE,FALSE,FALSE
혜민동물병원,http://hyeminpet.blog.me/,"만성질환 치료, 애견용품 판매, 매용, 분양 등 전문",02-454-8275,서울특별시 광진구 자양로15길 48,FALSE,FALSE,FALSE,TRUE
아인스동물병원,http://blog.naver.com/primitian22,"암, 신장, 심장 등 관리 안내",02-2213-0075,서울특별시 동대문구 장한로 44,FALSE,FALSE,FALSE,FALSE
치료멍멍동물병원 신사본원,http://blog.7500clinic.com/,"강아지 슬개골탈구 전문, 초음파, X-ray 보유",02-545-0075,서울특별시 강남구 도산대로 309,FALSE,FALSE,FALSE,FALSE
애플동물병원,,"내과, 산과, 피부과, 외과, 중성화수술 등",02-455-0077,서울특별시 광진구 천호대로 644,FALSE,FALSE,FALSE,FALSE
서울종합동물병원,,"동물치료, 애완 용품 판매 전문",02-928-5599,서울특별시 성북구 보문로 146,FALSE,FALSE,FALSE,TRUE
Pet365 동물병원,http://blog.naver.com/pet365ah,"예방접종, 피부병, 아토피 미용 등 각종 진료",02-2282-3653,서울특별시 성동구 독서당로 328,FALSE,FALSE,TRUE,FALSE
